       a,       b,      w0,      w1,       x,       y,       z
      21,       1,    -395,     406,      16,      -5,       3
       1,      22,    -195,     313,       3,      18,      14
       2,       0,    -459,     114,      -3,       9,       6
      15,      -1,    -543,     831,      21,      27,      15
     -16,       0,    -459,    -126,      26,       7,       8
      15,       3,    -255,     811,      17,      31,      18
      17,       9,    -351,     281,       3,       6,      19
      16,      24,    1365,     728,      19,      11,      25
       7,      11,    1037,     760,      34,      15,      21
      13,       7,    -291,     260,       6,       9,       7
      18,      25,    1341,     422,      18,      -1,       0
      15,      13,     113,     439,      11,      12,      11
       4,      14,     493,     428,      17,      25,       1
       0,       9,    -315,      84,       4,       6,       0
      28,       4,    -107,     856,      22,       6,       6
      29,       5,    -339,     180,       6,       5,     -10
       9,       0,    -459,     419,      13,      16,       8
      30,      28,    2789,    1302,      29,       5,      26
      10,       0,    -459,     294,      -8,      35,       9
       1,      16,    -587,     102,      -2,       6,       7
      37,      11,     377,    1015,      19,      11,      11
      15,      21,     633,     441,      13,       8,      11
      -1,      10,      61,     391,      13,      19,      17
      -2,     -17,   -1139,     210,      10,      13,       5
      10,      19,    -307,     238,       2,      15,       7
      10,      20,    -539,       4,      -1,      14,     -15
      21,       7,    -655,     -45,      -7,      12,       3
       1,      -5,    -739,     464,      14,      19,      22
     -12,       8,    -459,     110,       0,       7,       5
      18,      30,     501,      92,       8,     -10,       0
      26,      -1,    -543,     812,      21,       6,      10
      21,       6,     -27,     738,      18,      26,      -1
      30,      10,    -179,     328,       7,      -6,      17
      25,      15,      21,     546,       8,      29,       1
      12,      40,    -779,     -10,      -2,      17,     -18
      13,      11,     465,     651,      21,      18,       9
      14,      22,    -459,     120,       0,       4,      10
       7,       3,    -471,     101,      -1,     -11,      28
      15,       6,    -147,     315,      13,       5,      -1
      11,     -15,   -1539,     400,      18,       7,       3
      10,      21,     297,     272,       9,       0,      16
       0,       2,    -467,     260,      -1,      17,      12
      14,      22,    1653,     944,      24,      24,      28
       5,      21,     969,     579,      17,      16,      29
      34,      16,    -587,    -124,      -2,     -14,      12
       6,      -4,    -939,     788,      30,      30,      16
       6,      20,    -299,     164,       2,     -10,      30
     -15,       0,    -459,     305,      -5,      22,       5
      -5,      -4,    -411,     117,      -3,       8,       5
      -7,      10,      21,     210,      12,       7,      19
       0,      14,     381,      50,      15,       0,      -5
       0,       9,    -135,     122,       9,       6,       1
      17,      -5,    -559,     255,       5,      10,       5
      -6,      14,    1221,     292,      30,      26,       4
       6,      22,     157,     224,       7,      10,       5
      15,      28,    2901,     800,      30,       5,      15
       9,       7,    -543,     143,      -3,      18,       1
       5,       5,     381,     592,      42,       9,       5
      12,      18,      45,     578,       7,      34,      14
      27,      34,    1309,     413,      13,      -8,       8
       6,       3,    -303,     214,      13,       5,       1
      17,       6,      45,     501,      21,       1,       1
       8,      21,     717,      50,      14,      -5,     -12
       5,      21,     213,     164,       8,      14,      -8
       6,      10,    -379,     252,       2,      10,      16
       1,      -7,    -459,     152,       0,       0,      19
       1,       2,    -315,     638,      18,      24,      34
      14,       2,    -395,     298,       8,       5,      11
      10,      23,    -275,     196,       2,       2,      18
      32,      19,    1137,     894,      21,       0,      12
       0,       6,    -507,     174,      -2,       9,      12
      -5,       0,    -459,     305,      29,      10,      22
      11,      -1,    -475,     524,       4,      24,      27
       6,      19,     453,     392,      12,      12,      16
      24,      -1,    -419,    -222,     -10,      -1,      11
      18,      30,   -1659,       8,     -10,       8,      21
       4,       0,    -459,     114,     -11,      16,       8
      -6,      14,     325,     334,      14,      23,      13
       6,      -6,    -747,     480,      12,      32,       2
      26,      11,      25,     596,      11,      22,       3
      -6,      13,    -251,     232,       4,      16,       9
      -9,      -5,    -739,     126,      14,       8,      11
      18,       9,    -459,     396,       0,      18,      27
      21,       4,    -283,     483,      11,      13,       7
      23,      15,     861,     524,      22,     -13,       2
       9,     -14,    -907,      94,       8,       3,      -7
       2,       8,    -491,     198,      -1,      15,       7
      13,      10,      61,     185,      13,       1,      -9
      -4,      -5,    -639,      58,       9,       4,       0
      14,       0,    -459,     386,       5,      11,      22
       6,       3,    -435,     254,       2,       7,      20
       1,       1,    -499,     130,     -10,      12,      10
       8,      13,     269,     292,      14,       0,      12
       2,      28,    1221,     236,      15,      14,      -3
      20,       5,      81,     954,      27,      14,      14
      16,      15,    -459,     228,       0,      10,      16
       4,       5,     -79,     306,      19,       6,       7
      14,       4,    -443,     322,       1,      15,      19
       9,      36,    3717,     691,      29,      12,      17
      18,      -1,    -543,     962,      21,      45,       1
      -2,       4,    -459,      28,       0,     -10,      16
      -2,       0,    -459,     302,      17,       5,      23
      -6,      27,   -1539,     290,     -10,      13,      20
       0,       7,    -823,     118,     -13,      14,       7
       9,      11,     245,     246,      16,     -13,      17
      12,      -7,    -991,     498,      19,      14,       2
       2,       8,    -203,     270,       8,      11,      12
      15,       5,     161,     821,      31,      17,       0
      17,       2,    -347,     320,      14,      -1,       1
       9,      17,     493,     532,      14,      25,       9
      10,      15,    -819,     126,      -6,      11,      14
      17,      19,    -155,     432,       4,      18,      20
      -5,       8,    -107,      85,      11,       9,      -2
      18,       4,    -267,     568,      12,      16,      15
      18,      29,    1049,     594,      13,      13,      19
      18,      18,     549,     626,      14,      21,      10
      14,      11,    -635,     108,      -4,      14,       6
      -4,      21,      45,     212,       6,      12,      10
      13,       5,     -79,     441,      19,       4,       5
      11,       0,    -459,     449,      11,       3,      29
      14,      -3,    -471,      76,       1,       4,       2
      18,       6,     -99,     430,      15,       3,       5
       4,       5,    -219,     392,      12,      16,      14
       9,      12,      21,     466,      10,       6,      32
       9,      18,     765,     289,      17,       1,       3
       5,      15,    -819,      26,      -6,      10,      -1
       7,      -2,    -731,     684,      34,      13,      14
       3,      13,     269,     318,      14,       8,      14
      16,       5,     141,     990,      30,      25,      10
       3,       1,    -379,     612,      20,      24,      24
      15,      37,    2797,     798,      22,      20,      17
      11,      -6,    -867,     425,      17,       0,      17
      -5,      16,    -203,     200,       4,      18,       2
      -3,       3,    -171,     -40,      24,      -8,      -4
      24,       7,     353,    1106,      29,      14,      12
      12,      24,    1077,     604,      16,      26,       7
       2,       2,    -419,     186,       5,       9,       7
      21,      19,    1365,     902,      24,      23,       3
      14,       2,    -323,     424,      17,       2,       8
       8,      -5,    -359,     320,      -5,      35,       5
     -12,      21,    1389,      10,      22,       7,       9
       2,      22,    1653,     218,      24,       9,      -8
      12,       0,    -459,     432,       6,      26,       8
      16,      23,     185,     332,       7,      17,       1
      14,      12,     405,     676,      18,      10,      27
      11,      15,    1221,     662,      28,      13,       7
      20,       3,    -435,     128,       2,      14,      -8
      -1,       0,    -459,     111,       9,       1,       7
     -13,       8,     277,      43,      23,      10,      13
      16,      33,     465,     414,       7,       6,      25
      30,      11,     421,     808,      20,       0,      11
       2,      24,     -75,     408,       4,      28,      12
      22,       4,    -203,     466,      16,       1,       1
       0,      11,    -239,     338,       5,      30,       1
      16,       9,     297,     534,      21,       8,      -1
       0,      -1,    -555,     346,      24,      -3,      29
      12,       1,    -423,     346,       9,       4,      18
       0,       6,      93,     454,      23,      18,      17
       1,      23,    -735,     189,      -3,       9,      15
      14,      -5,    -559,     196,       5,      16,      -8
       2,       7,    -235,     238,       8,      15,       3
       9,       6,    -195,     499,      11,      23,      13
      14,       3,    -399,     288,       5,      10,      11
       3,      21,     549,      52,      12,       0,      -7
      26,       4,    -139,     802,      20,       9,       9
      20,       8,     -43,     532,      13,       5,      18
       9,      -2,    -531,     229,       9,      19,     -12
       5,       9,    -531,     234,      -2,       4,      27
      11,      20,   -1339,     173,     -11,      20,      20
      11,      -8,   -1515,     703,      33,       7,       9
      -5,      -5,    -399,     355,      -3,      27,      11
      11,      11,    -107,     300,       8,       6,      13
       0,       0,    -459,     292,       5,      19,       9
       6,      27,    2133,     580,      24,      14,      19
       2,      24,    1461,     180,      20,       6,      -5
       0,      34,    2397,     316,      21,      11,      10
       5,      16,    -971,     -16,      -8,      20,     -16
      11,      23,     829,     544,      14,      13,      22
      16,      18,     333,     144,      11,      -5,      -6
       9,      -6,    -531,     325,       3,       8,      25
       8,      14,    1109,     630,      28,      15,      11
      -5,      28,    1109,     384,      14,      25,      15
      18,      10,      61,     320,      13,       8,      -9
       9,      31,      37,      74,       4,      -1,       3
      -4,      -5,    -799,     166,      17,      -2,      19
      23,      20,    1221,     999,      21,      19,      25
       7,      15,    -159,      75,       5,       1,       0
       0,      12,     741,     406,      25,      12,      17
      -9,      18,    -891,     274,      -6,      12,      17
      24,       1,    -423,     470,       9,      20,       0
       9,      30,     381,     255,       7,       7,      10
      -5,      10,     -59,     328,      10,      27,       6
      20,       4,    -395,     402,       4,       5,      31
      17,       0,    -459,     576,      16,       8,      16
      18,       1,    -391,     712,      17,      12,      23
       5,      23,    -367,     -13,       1,      -4,       2
      12,      26,    2349,     710,      27,       8,      18
      -2,      18,    1341,     356,      25,      16,      12
       0,       8,      85,       8,      17,      -3,      -8
      10,      25,    -459,     358,       0,      27,      11
      -1,      12,     165,     155,      13,       5,       5
      -4,      21,     297,      70,       9,      -2,       9
      16,       1,    -443,     160,       4,      -4,      14
       6,      11,     641,     800,      25,      30,      25
       2,      -1,    -483,     126,       6,       7,       1
      -6,      18,     693,     342,      16,      27,       9
       1,       9,    -387,     150,       2,      12,       2
      10,      10,     -99,     196,       9,       2,       4
      10,      11,     685,     732,      26,      10,      27
      14,      35,    3881,    1114,      31,      31,      23
       0,      11,    -415,     324,       1,      19,      16
      28,      16,     565,     644,      16,      -2,      15
      28,       8,    -107,     594,      11,      18,       5
       2,      19,    -459,    -178,       0,     -25,       9
      33,       0,    -459,    1010,      20,       3,      25
      11,       9,    -495,     143,      -1,       8,      10
      22,       6,    -243,     530,       9,       7,      26
      12,      10,     181,     400,      16,      12,      -1
       7,       8,    -459,     140,       0,       2,      15
      11,      15,     -99,      50,       6,      -6,       1
       4,      28,     549,     212,       9,       9,       4
       0,      12,     453,     318,      19,       2,      23
      -5,       5,     -79,      27,      19,       8,      -9
      14,       3,    -363,     146,       8,     -11,      12
     -14,      14,    -235,     154,       4,      17,       2
      26,      23,     185,     476,       7,      10,      19
      16,      -1,    -535,     234,      19,     -16,      -3
      -7,       4,    -459,      56,       0,       0,       7
       5,      24,   -1515,      -3,     -11,      -1,      16
      11,      10,     341,     694,      20,      21,      18
      22,       1,    -447,      52,       3,     -12,      11
       8,      16,     117,     394,       9,      18,      11
       5,      -2,    -555,     322,      12,      15,       5
      24,      33,     861,     400,      10,      22,     -15
      22,     -11,    -459,     118,       0,      -5,      21
       8,       0,    -459,     494,      17,      12,      17
      13,      -3,    -603,     684,      12,      28,      22
      -1,      16,     437,     248,      14,       1,      21
     -10,      22,    1301,     -76,      20,      -2,       3
      20,       3,    -291,     372,      14,       8,      -9
      11,     -10,    -259,      63,      -5,      -2,      21
      17,       5,    -379,      22,       4,       5,     -15
       1,      -2,    -299,      16,     -20,       6,      12
      12,      12,     645,     586,      23,      14,       4
      22,      29,    2325,     888,      24,      20,       2
       4,      25,     841,     404,      13,       9,      23
      14,       4,    -443,      98,       1,      19,     -14
     -15,      -2,    -603,     -28,      18,      11,       3
      16,      22,     861,     594,      15,      12,      18
       5,      -7,    -151,     -15,     -11,      -3,      17
       4,      14,     381,     366,      15,       4,      22
       3,      34,    1853,     463,      17,      39,     -10
       0,       7,      73,     450,      19,      24,      12
       7,      22,     597,     330,      12,      15,       3
      12,       7,    -207,     396,       9,       5,      23
       0,      39,    -615,     210,      -1,       0,      27
      17,      15,     501,     670,      16,      11,      24
      12,       1,    -403,     594,      14,      19,      19
      12,      11,     201,     326,      15,      -4,      12
      33,      21,    -879,    -205,      -5,       3,      -5
      24,      15,    -459,     250,       0,      13,      15
       9,      22,      69,     284,       6,      13,       8
       9,      -4,    -747,     342,      18,       0,       9
      15,      12,     357,     547,      17,      19,       0
      -3,       0,    -459,     280,      -4,      22,       9
       4,      22,     245,     232,       8,       8,       9
      20,       4,    -267,     672,      12,      20,      20
      10,      -4,    -715,     534,      16,       7,      26
      10,     -13,    -459,     234,       0,      17,       8
       0,       5,    -599,     230,      -7,      20,       9
      -3,      -4,    -779,     334,      20,      21,       8
      24,      26,     165,     322,       6,      11,       4
     -10,      23,       1,     364,       5,      24,      18
       5,      10,    -339,     175,       3,       7,       9
       6,      18,     405,     424,      12,      12,      20
      -2,      -2,    -619,     334,      20,      19,       8
      17,      10,      61,     609,      13,      31,       0
      -1,      29,     237,     384,       6,      21,      18
      13,       7,     -95,     501,      13,      11,      18
      17,       1,    -411,     562,      12,      15,      17
      17,      -1,    -543,     597,      21,      13,      -2
      20,      13,     581,     778,      20,      13,      16
      24,      12,    -459,     266,       0,      29,      -3
      11,      -2,    -659,     749,      25,      26,       8
       9,       9,     -63,     407,      11,      21,       4
      16,      10,     861,     716,      33,      -9,      10
      -9,      -3,    -267,     126,     -16,       3,       6
       5,       8,    -683,     157,      -7,      25,      -2
      13,       1,    -491,      22,      -8,      23,      -7
      14,      14,    -347,     228,       2,       6,      16
       4,       5,    -379,     210,       4,      13,       5
      22,       3,    -507,    -224,      -4,       0,     -14
      25,      14,    -123,     256,       6,      -5,      15
       4,      11,    -723,      26,      -6,       3,       7
      10,      15,    -219,     160,       4,       0,      12
      20,      -2,    -507,     232,       6,       6,       2
       4,       0,    -459,     136,     -11,      23,       2
       6,      -4,    -619,     100,      10,     -10,      10
      20,       4,    -363,     260,       6,       0,      13
      25,     -10,   -1299,     815,      21,       6,      13
       3,       1,    -547,      12,     -22,       1,      25
      -3,       2,    -155,     206,      38,      -2,      14
     -12,      -8,    -811,       4,      11,       7,       0
      21,       6,    -243,     517,       9,       1,      33
      16,      -4,    -859,     806,      25,       4,      27
      -4,      -4,    -443,     254,      -1,      12,      17
      16,      12,     261,     500,      15,      13,       5
      19,      23,   -1011,    -232,      -6,     -13,       6
       9,      11,    -635,     188,      -4,      20,       6
       6,      19,     453,     442,      12,      13,      21
      -9,      10,    -139,     192,       8,      12,      12
       4,      21,    2229,     466,      32,      -3,      22
       5,      15,     501,     194,      16,       9,      -9
      12,     -14,   -1523,     684,      19,      15,      24
      18,      17,    1173,     776,      24,       8,      15
      18,      32,    4021,    1084,      35,      18,       8
      11,       5,    -519,     201,      -3,      26,      -1
       5,      25,     241,     247,       7,       5,      15
      14,       2,    -419,     432,       5,      22,      14
      21,      13,      61,     434,      10,      14,       3
       2,       8,     117,     400,      18,      12,      17
      17,      14,    -235,     356,       4,      20,       8
     -10,       1,    -475,     328,      -4,      12,      24
      12,       4,    -267,     492,      12,      14,      17
       6,       0,    -459,     140,      16,       6,     -14
      30,      13,     373,     644,      16,       6,       1
      15,       2,    -355,     467,      13,      13,       8
       6,       3,    -255,     444,      17,       0,      30
       0,      16,     -75,     302,       6,      13,      17
      16,       0,    -459,     518,      14,       1,      25
      11,      22,     -19,     417,       5,      30,       4
      16,      14,    -403,     242,       1,       2,      25
       8,      12,      69,     146,      11,       0,      -1
     -10,      23,    -183,     184,       3,      22,      -3
      11,       3,    -447,      -5,       1,      -7,       6
       7,       7,      45,     328,      18,       7,       3
       2,       9,      81,      84,      15,      10,     -17
      12,       3,    -183,     552,      23,       1,      16
      -2,      15,     261,     340,      12,      10,      24
     -10,      14,     157,     -40,      11,      -6,       8
      23,      21,    1221,     568,      20,     -10,      11
       3,      16,     757,     515,      19,      12,      28
      18,      21,     717,     658,      14,      21,      14
       0,      22,     333,     428,       9,      23,      18
       6,       4,     -59,     716,      25,      28,      17
       0,      18,     477,     250,      13,      10,       9
      -1,       2,    -331,     -48,      16,      -4,     -11
       9,      23,    1197,     492,      18,       7,      19
      10,       5,    -139,     478,      16,      11,      14
       0,      19,     225,     246,       9,      16,       4
      -8,     -13,    -563,     222,       2,      17,       7
       3,      13,     113,     259,      11,       4,      15
      -2,      25,   -1459,     210,     -10,       9,      20
       6,      12,     453,     286,      19,       1,       6
      14,       1,    -407,     484,      13,      16,       8
      16,      -9,    -603,     154,       4,      -3,      12
      16,      -6,    -603,     312,       6,      14,       5
      25,       4,    -443,     197,       1,      15,       2
       6,      -6,    -579,     122,       5,       7,      -1
      -3,      -1,    -507,     210,      12,       3,      18
       5,       4,    -363,     148,       6,       5,       4
      27,      10,    -379,     208,       2,      11,       4
       0,      25,    3141,     238,      36,      -1,       4
      11,      20,    1541,     731,      25,      17,      17
      14,      14,    -123,     338,       6,       9,      16
       6,      -2,    -547,     304,      11,      10,       9
     -11,       0,    -459,     130,      24,      25,       0
       5,      14,     493,     347,      17,      12,       5
      13,      -4,    -811,     712,      22,      23,       8
      21,      -6,    -507,     266,       2,       6,      19
      22,       3,    -351,     348,       9,       8,       2
      12,       5,    -419,     386,       2,      31,       5
      17,      11,     201,     437,      15,       2,       9
       6,       2,    -355,     430,      13,      17,      13
      28,      17,     -51,     470,       6,       9,      22
      11,       2,    -379,     592,      10,      31,      14
      26,      18,     621,     460,      15,      -2,       0
       9,      14,    1053,     635,      27,       7,      20
       6,      12,    -123,     340,       7,      20,       7
      29,      15,     381,     634,      14,       4,      13
       9,      20,     981,     608,      18,      29,       6
      23,      22,     157,     217,       7,      11,     -12
       4,      20,     421,     186,      11,      10,      -3
      17,      17,     425,     443,      13,      12,       3
      11,       7,     -39,     613,      15,       3,      41
      -1,     -10,    -659,     197,       5,      14,       4
      22,      -4,    -523,     348,       4,       6,      22
      23,      13,    -303,     113,       3,       1,       2
      17,      -1,    -435,    -202,      -6,       0,      -8
       1,       8,     -11,     252,      14,      13,       3
      26,      17,     697,     864,      17,       4,      35
      -1,      32,    -203,     440,       2,      23,      25
      15,       3,    -183,     805,      23,      29,       4
       4,      11,    -459,     174,       0,      -5,      28
       3,      -8,   -1067,     411,      19,      16,      10
       7,      16,     373,     451,      13,      21,       9
       9,       8,    -139,     336,      10,      -3,      27
       4,      15,     621,     318,      18,       9,       6
      19,      16,    1205,     906,      26,       8,      22
       8,      22,    -283,     618,       2,      35,      30
       9,      17,     765,     310,      18,       0,       5
       5,       6,     -51,     383,      17,       6,      17
      14,      12,     501,     374,      20,      -5,       3
      10,       6,      93,     648,      23,      24,       5
      14,      27,     621,     418,      10,       5,      21
      -1,      19,     225,     131,       9,      -5,      17
      25,      11,     113,     633,      13,      23,       0
      21,       7,    -459,     358,       0,      15,      26
      10,       4,    -619,     -66,     -10,       7,       3
       5,      22,     597,     496,      12,      18,      23
       3,       7,      45,     188,      18,      -3,       7
      21,       9,     441,     803,      25,      12,       1
      27,       7,    -403,     412,       2,      21,      17
       7,       8,    -235,     337,       7,      -1,      32
      20,      23,    1105,     706,      17,       8,      23
      15,      35,     241,     265,       5,       4,      15
      31,       2,    -419,     161,       5,     -12,      12
       0,      14,     -11,     302,       8,      19,       8
       9,       5,      61,     410,      26,      -2,       5
      14,      12,    -219,     310,       5,      17,       5
      -7,       2,    -403,     -59,       7,       6,     -14
       1,      -1,    -487,     329,       7,       4,      30
       4,     -17,    -663,     184,       3,       9,       8
       4,     -15,    -939,     382,       8,      11,      24
       9,      17,     833,     427,      19,      11,       4
       1,       5,    -319,      41,       7,       0,      -1
      21,      14,    -851,      51,      -7,      12,      15
      18,      -4,    -523,     216,       4,      12,       0
      45,      22,     421,     618,      10,       2,      11
       1,       7,    -291,     364,       6,       9,      29
       7,      29,    3369,     757,      33,      20,      16
       6,       7,    -319,     232,       5,      10,       9
       4,      10,    -139,     394,       8,      17,      18
       0,       5,      61,     252,      26,       0,      12
      29,       9,     189,     760,      18,      13,       0
      25,      12,     165,     517,      13,       1,      13
       8,      -4,    -539,     398,       5,      28,       6
      -8,      16,    -203,     270,       4,      27,       1
      23,      10,    -579,     125,      -3,      10,      14
      10,      -3,    -711,     352,      21,       0,       2
       9,      10,    -819,     169,      -9,      16,      18
       5,       2,    -283,     372,      22,       9,       5
       0,       2,    -331,     340,      16,      10,      18
       4,      21,    -459,     -36,       0,      -6,       3
      14,       7,     -11,     418,      16,       9,       1
      17,      10,     461,     681,      23,       8,       9
       5,      34,     493,     -33,       7,      -3,     -10
      -6,       6,      93,     184,      23,      12,       8
       8,      20,     501,     336,      12,      16,       1
       8,      16,     373,     224,      13,      13,     -11
      24,      11,     289,     678,      17,      12,       6
      13,      10,    -619,    -174,      -4,      -9,      -1
      11,      -9,    -603,     316,       4,      16,      11
     -12,      15,     261,    -112,      12,       0,      -5
      -8,      20,     661,      18,      14,      -1,       7
      12,       4,    -459,     186,       0,       9,      12
      16,       9,     225,     680,      19,       3,      29
      26,       5,    -299,     320,       8,       0,       8
       7,      -1,    -515,     282,      14,      10,       0
       9,      23,    2577,     525,      33,       3,       0
      20,       0,    -459,     690,      14,      23,      12
      17,       2,    -531,     -95,      -9,       0,      14
      16,       2,    -307,     736,      19,      23,      11
      11,       6,     -99,     367,      15,      12,      -1
       7,      20,    1061,     475,      19,      10,      16
      21,      12,     789,     976,      26,      13,      18
      15,      28,    2005,     510,      22,       0,       6
      17,       1,    -387,     462,      18,      12,      -9
      19,       2,    -307,     845,      19,      29,      10
      23,       1,    -479,    -179,      -5,       3,      -8
      20,      18,    -531,     118,      -1,      12,       3
      24,      10,    -299,     404,       4,      26,       3
       6,      29,    2209,     286,      23,       1,       0
       9,       2,    -387,     591,       9,      28,      22
       5,      12,     261,     205,      15,       8,      -5
      16,     -10,    -699,     454,       6,      17,      19
       2,      13,     269,     318,      14,      19,       2
      -6,       0,    -459,     156,       9,      14,       2
       4,     -11,    -899,     570,      10,      35,      15
      21,      16,    -459,     458,       0,      33,      16
      18,      27,    1593,     716,      19,      14,      15
       7,       4,    -187,     725,      17,      20,      38
       2,      13,      61,     244,      10,       6,      13
      12,       3,    -447,     194,       1,       4,      17
      24,      -1,    -535,     908,      19,      21,      16
      26,      26,    1101,     602,      15,       5,       9
      13,       7,    -123,     514,      12,      23,       7
      15,       5,     -59,     584,      20,      14,       3
      17,      13,     529,     605,      19,      16,       1
      13,      17,      85,     380,       8,      10,      16
     -13,      10,      21,      10,      12,      -1,      13
       0,      14,     101,     218,      10,      23,      -9
       4,       5,    -159,     266,      15,      14,      -3
      33,      -3,    -699,     962,      20,      19,      -1
      12,       3,    -447,     234,       1,      12,      12
       3,      11,     377,     355,      19,       0,      23
       2,      -4,    -635,     158,      11,       7,       0
       3,       0,    -459,     101,       3,       1,       8
      29,      20,      21,     294,       6,      -2,      13
      13,      12,     405,     408,      18,      -7,      17
      18,      37,     133,     264,       4,       8,      11
      16,      -3,    -411,     184,      -4,      24,       4
       4,      16,     565,     376,      16,       4,      22
      -3,       4,    -123,     291,      21,       6,      21
       8,       4,    -219,     462,      15,       6,      24
      10,      13,     425,     594,      17,      21,      14
      15,      19,    1441,     695,      25,      13,       5
       5,      11,      69,     210,      12,       7,       1
      23,      22,     773,     346,      14,      -2,      -5
       7,      12,     837,     583,      27,      20,       4
       1,       3,    -327,     233,      11,      18,      -3
      24,       3,    -483,     352,      -2,      26,      19
      22,       2,    -331,     836,      16,      22,      21
      16,       7,     241,     638,      25,       0,      11
       8,       0,    -459,     636,      21,       7,      34
      11,      15,     861,     460,      22,       3,       7
      20,      20,     421,     300,      11,      -1,       3
      15,      -3,    -483,     216,       2,      15,       3
      16,      22,    1741,     702,      25,      12,       4
       3,      13,      61,     276,      10,       5,      17
       8,       9,     261,     486,      20,       7,      17
      14,      16,    -651,     204,      -3,      16,      13
       8,      12,    -747,      66,      -6,      -1,      20
      20,      18,    -963,    -148,      -7,      -3,       8
      22,      17,     221,     356,      10,       6,       2
      13,      25,    -659,     314,      -2,      20,      19
       8,      21,    1221,     580,      20,      18,      15
      11,      -3,    -627,     424,      14,       5,      17
       9,      11,     -19,     258,      10,       6,       6
      14,      13,    -511,     -26,      -1,       9,     -12
       0,      12,     165,     316,      13,      11,      16
      10,      22,     509,     268,      11,       6,       4
      21,       9,    -315,     428,       4,      20,      15
       1,      19,     909,     290,      18,      14,       3
      -1,      19,    -459,    -146,       0,      -9,      -7
      25,       8,    -427,     105,       1,      -7,      18
       3,      -7,   -1299,     654,      30,      28,      13
      -8,      -3,    -423,     102,      -3,      12,      -3
       5,      34,    -323,     -39,       1,      -5,       0
       1,       9,     801,     453,      35,       4,      21
      10,      19,     757,     488,      16,       4,      24
      22,      28,    2341,     822,      25,       5,       9
       0,      -5,   -1239,     292,      39,      -7,      16
      29,      -2,    -523,     618,       8,      17,      21
       6,       8,     -43,     164,      13,       8,      -9
      18,       4,    -475,     650,      -1,      41,      33
       5,      30,     501,     264,       8,      12,       7
       7,       6,    -315,      70,       6,       4,      -6
       7,      14,     269,     363,      13,       5,      18
      26,      16,    1013,    1064,      23,      24,      11
     -12,      25,     141,      20,       6,       0,       7
      14,      17,   -1003,     216,      -8,      36,       2
      19,       4,    -219,     527,      15,       4,      14
      18,      -4,    -763,     324,      19,     -22,      11
      14,      18,     909,     698,      19,      19,      16
      -1,      34,    2805,     106,      24,     -11,      12
       9,       8,    -587,     282,      -4,      19,      19
       0,      18,     333,     154,      11,       8,       1
       4,      13,     165,     384,      12,      12,      18
      20,      16,   -1035,    -102,      -9,       6,       9
      21,      -9,   -1287,     825,      23,      18,       3
       7,       2,    -331,     386,      16,      17,       1
      -8,       1,    -411,      66,      12,       9,       0
       5,      14,    -179,     263,       5,       8,      16
       6,      28,    1557,     254,      18,      -1,       6
       0,      19,    1745,     314,      29,      14,       0
      23,       0,    -459,     383,       3,      12,      22
      14,      29,     933,     348,      12,       2,      11
       6,      12,    -219,     218,       5,       7,      11
      11,       7,    -319,     297,       5,      14,       9
       5,     -14,    -907,     170,       8,       1,       9
       0,      23,    -275,     124,       2,      12,      -1
       9,       0,    -459,     288,      10,       5,      11
      11,      20,    -779,     116,      -4,      12,       8
      23,      38,    4861,    1061,      35,      -1,       7
     -20,      10,    -379,     398,       2,      13,      37
      21,      22,   -1867,    -298,     -16,       7,       8
      18,      14,     213,     594,      12,       1,      37
      24,      -2,    -531,     302,       9,      -8,      14
       2,       0,    -459,     394,      22,       9,      16
      17,      15,      21,     256,       8,       0,       9
      21,      10,     301,     703,      19,      11,      10
      -2,       6,    -363,     186,       4,      21,      -5
      25,      -9,    -387,     150,      -2,      10,      14
       5,      16,     437,     412,      14,      13,      16
      -1,       2,    -371,     251,      11,       6,      17
      11,      -1,    -431,       1,      -7,      -8,      25
       2,       6,     237,     654,      29,      23,      24
       8,       4,    -315,     338,       9,       6,      19
      22,       2,    -331,     514,      16,       5,       2
      28,       9,    -675,     -72,      -6,      18,      -6
       0,      16,    1781,     364,      35,       9,       8
      19,      31,    2641,     859,      25,       9,      18
      20,      13,     321,     658,      15,      14,      16
      18,      12,     261,     512,      15,       4,      14
       7,      14,     -67,     185,       7,      15,      -7
      11,       5,    -539,      82,      -4,      15,       0
     -17,       8,     341,     -19,      25,      20,       7
      15,      16,    -203,     224,       4,      14,       0
      10,       1,    -407,     382,      13,      15,       3
      24,       9,     -63,     530,      11,       0,      25
      13,      11,     729,     839,      27,      15,      22
      10,      15,     441,     334,      15,      -5,      18
      20,       7,    -123,     362,      12,      -3,      10
       6,       5,    -119,     326,      17,       5,       9
      -2,      -6,    -915,     126,      19,     -11,      20
       0,      12,     501,     350,      20,       7,      20
       4,      20,     581,     448,      13,      11,      26
      27,       3,    -339,     312,      10,      -5,       4
       7,       6,     117,     458,      24,      17,      -3
      -1,       1,    -419,     392,      10,      19,      19
      19,      21,    1389,     540,      22,      -5,       5
      11,       3,    -399,     259,       5,      15,       3
       9,      17,    1989,     592,      36,       2,       4
      11,      -1,    -523,     698,      16,      21,      27
      21,     -13,    -563,     302,       2,      12,      16
      14,      18,     837,     650,      18,      17,      15
      -3,       2,    -419,      87,       5,       0,       9
      -1,      13,     373,     354,      16,      13,      18
       9,       0,    -459,     632,       8,      36,      19
      21,      12,      69,     485,      11,       2,      21
     -11,       0,    -459,      83,       7,      11,       1
